iter	Passed	Remaining
431	1762	2317
432	1764	2311
433	1767	2304
434	1769	2298
435	1772	2292
436	1774	2286
437	1776	2279
438	1779	2273
439	1781	2267
440	1783	2261
441	1786	2254
442	1788	2248
443	1790	2242
444	1793	2236
445	1795	2229
446	1797	2223
447	1800	2218
448	1807	2218
449	1813	2216
450	1816	2211
451	1821	2208
452	1824	2202
453	1827	2197
454	1833	2196
455	1836	2190
456	1838	2185
457	1844	2182
458	1847	2177
459	1852	2174
460	1858	2172
461	1860	2166
462	1863	2160
463	1869	2159
464	1872	2154
465	1876	2149
466	1883	2149
467	1891	2150
468	1899	2150
469	1905	2149
470	1911	2146
471	1916	2144
472	1923	2142
473	1930	2142
474	1937	2141
475	1943	2139
476	1950	2138
477	1952	2132
478	1955	2126
479	1957	2120
480	1959	2114
481	1961	2108
482	1964	2102
483	1967	2097
484	1969	2091
485	1972	2085
486	1974	2079
487	1976	2073
488	1979	2068
489	1981	2062
490	1983	2056
491	1986	2051
492	1989	2045
493	1991	2039
494	1994	2034
495	1996	2028
496	1998	2023
497	2001	2017
498	2005	2013
499	2011	2011
500	2014	2006
501	2020	2004
502	2023	1999
503	2026	1994
504	2033	1993
505	2040	1991
506	2047	1991
507	2055	1991
508	2063	1990
509	2070	1989
510	2078	1989
511	2086	1988
512	2094	1988
513	2100	1986
514	2105	1982
515	2112	1981
516	2119	1979
517	2123	1975
518	2130	1974
519	2137	1973
520	2144	1971
521	2149	1968
522	2156	1967
523	2162	1964
524	2169	1962
525	2175	1960
526	2179	1956
527	2181	1950
528	2184	1944
529	2186	1939
530	2189	1934
531	2191	1928
532	2194	1922
533	2196	1917
534	2202	1914
535	2205	1909
536	2207	1903
537	2210	1897
538	2213	1893
539	2217	1888
540	2220	1883
541	2222	1878
542	2226	1874
543	2230	1869
544	2233	1864
545	2237	1860
546	2241	1856
547	2243	1850
548	2246	1845
549	2251	1842
550	2254	1837
551	2259	1833
552	2264	1830
553	2267	1825
554	2270	1820
555	2275	1816
556	2277	1811
557	2280	1806
558	2286	1803
559	2292	1801
560	2300	1799
561	2302	1794
562	2304	1789
563	2308	1784
564	2310	1779
565	2313	1773
566	2317	1770
567	2320	1764
568	2323	1759
569	2326	1755
570	2329	1749
571	2331	1744
572	2334	1739
573	2337	1734
574	2340	1729
575	2342	1724
576	2345	1719
577	2347	1714
578	2350	1709
579	2353	1704
580	2356	1699
581	2359	1694
582	2362	1689
583	2366	1685
584	2368	1680
585	2371	1675
586	2375	1671
587	2377	1666
588	2380	1661
589	2382	1655
590	2385	1650
591	2388	1645
592	2390	1640
593	2392	1635
594	2399	1633
595	2402	1628
596	2404	1623
597	2408	1618
598	2412	1614
599	2415	1610
600	2417	1604
601	2423	1602
602	2426	1597
603	2429	1592
604	2434	1589
605	2437	1584
606	2439	1579
607	2445	1576
608	2448	1572
609	2451	1567
610	2455	1563
611	2459	1559
612	2462	1554
613	2466	1550
614	2469	1545
615	2474	1542
616	2480	1539
617	2482	1534
618	2485	1529
619	2488	1525
620	2492	1521
621	2495	1516
622	2498	1511
623	2501	1507
624	2504	1502
625	2507	1498
626	2509	1493
627	2512	1488
628	2514	1483
629	2517	1478
630	2519	1473
631	2522	1469
632	2525	1464
633	2527	1459
634	2530	1454
635	2533	1449
636	2535	1445
637	2538	1440
638	2541	1435
639	2543	1430
640	2545	1425
641	2547	1420
642	2549	1415
643	2552	1411
644	2555	1406
645	2557	1401
646	2560	1396
647	2562	1392
648	2565	1387
649	2567	1382
650	2570	1378
651	2573	1373
652	2575	1368
653	2578	1364
654	2580	1359
655	2583	1354
656	2585	1349
657	2588	1345
658	2590	1340
659	2592	1335
660	2595	1331
661	2602	1328
662	2604	1323
663	2607	1319
664	2609	1314
665	2617	1312
666	2623	1309
667	2627	1306
668	2631	1302
669	2634	1297
670	2637	1293
671	2640	1288
672	2645	1285
673	2648	1281
674	2651	1276
675	2657	1273
676	2660	1269
677	2663	1264
678	2667	1260
679	2669	1256
680	2672	1251
681	2677	1248
682	2679	1243
683	2683	1239
684	2688	1236
685	2691	1231
